"Decision Making is an important part of the everyday lives of individuals and organizations. Many works within Computer Science have focused on supporting this process, especially by developing decision-supporting systems. We argue that for providing better support to Decision Making, it is paramount to understand the nature of a decision and of the process that leads to it. To accomplish that, in this paper, we go forward with our preliminary work in proposing a core ontology on Decision Making. Aiming at creating a wellfounded ontology, we rely on the Unified Foundational Ontology (UFO), and we reuse some notions of existing ontologies on Value Proposition and Economic Preference. Besides describing the ontology, this work discusses some possible applications and compare our ontology with related works";"Core Ontology on Decision Making";"Renata Guizzardi,Bruno Guimarães Carneiro,Daniele Porello,Giancarlo Guizzardi";"http://ceur-ws.org/Vol-2728/paper1.pdf"
"The issue of recommending an appropriate piece of information has become essential for the news portals. In this context, a well founded ontological layer represents actually an indispensable artifact to suggest relevant news for the readers. However, news agencies still need to mine their data in order to discover valuable knowledge. In this paper, we present a prototypal automatic semantic annotator for the regional Brazilian newspaper called A Tribuna. Founded on a set of inductive algorithms allowing to classify newspapers in Portuguese and extract named entities from them, our approach describes the standardized categorization and the semantic matching with DBpedia, the socalled nucleus of the Linked Open Data Cloud. We discuss the limitation of our prototype and draw some challenging perspectives to face them. Finally, our proposal paves the way to a new kind of recommendation-based systems.";"A Prototypical Semantic Annotator for A Tribuna Newspaper";"Elias de Oliveira, Wesley Silva,Juliana P. C. Pirovani, Jean-Remi Bourguet";"http://ceur-ws.org/Vol-2728/paper2.pdf"
"In the construction of geological models, it is crucial to specify the spatial relations between the represented entities, which support the understanding of the 3D distribution of the rock bodies. In this paper, we propose an ontological model, based on the GeoCore ontology and the Basic Formal Ontology (BFO), which defines a set of spatial relations between geological objects, amounts of earth materials, sites, boundaries, and other geological entities. We discuss a modeling case study of a deep-water channel-levee occurrence of the Karoo basin data from South Africa. The result of this work is an ontology that supports software applications in the determination of the physically possible spatial distribution of reservoir geological bodies";"A Spatial Relation Ontology for Deep-Water Depositional System Description in Geology";"Fernando Cicconeto, Lucas Valadares Vieira, Mara Abel, Renata dos Santos Alvarenga, Joel Luis Carbonera";http://ceur-ws.org/Vol-2728/paper3.pdf
"In software or program ontologies described in the literature, the separation between abstract and implementation views is evident. On the other hand, the ontological entities involved in such views are not very well defined in the context of programs life-cycle, having as parts conception, construction plan, construction process and verification. In many papers the ontological entities described are not very well grounded and they are only assumed as premises without top ontological background. To provide answers to some raised questions, this paper presents a computer program ontology based on the Basic Formal Ontology (BFO) and an interpretation of such an ontology. The ontology and its interpretation show how a computer program ontology is complex and need to advance to attend some theoretical or practical needs.";"An Ontological Analysis From Algorithm to Computer Capability";"José Parente de Oliveira";"http://ceur-ws.org/Vol-2728/paper4.pdf"
"Database integration plays a crucial role in understanding the healthcare domain. In this work, a semantic integration methodology was adapted to the birth and mortality database systems of the Brazilian Unified Health System. A case study was carried out to develop a health indicator in the context of maternal and child health in the municipality of Sao Paulo. Three layers of on- ˜ tologies were created for the solution, containing specifications and mappings. The ontologies were populated and evaluated for their ability to answer competence questions elected by domain experts. The solution proved to be useful in the integration process, presenting a global view of the data and their relationships."; "integração Semântica das Bases de Dados do Sistema Único de Saúde: Um Estudo de Caso com o Município de São Paulo (Semantic Data Integration for the Brazilian Public Health System: A Case Study With São Paulo)";"Debora Pereira, Alexandre Pessoa, Lais Salvador, Renata Wassermann";"http://ceur-ws.org/Vol-2728/paper5.pdf"
"There has been an increase use of Domain-Specific Visual Modeling Language (DSVML) as a means of improving models’ comprehensibility and, consequently, stakeholders’ productivity. Combining the benefits of DSVMLs and of an ontological approach for designing and evaluating DSVMLs, we present, in this paper, the first-steps towards an ontology-based DSVML in the legal domain called LawV. The main purpose of LawV is to provide for a visual symbolic representation for legal statements. LawV has been built by applying an ontology-based language engineering method called PoNTO-S and UFO-L, a legal core ontology. To evaluate LawV, we instantiate a judicial case selected from the database of Appeal Court of the Espírito Santo State in Brazil.";"LawV: Towards an Ontology-Based Visual Modeling Language in the Legal Domain";"Cristine Griffo, Maria Das Graças Da Silva Teixeira, João Paulo Andrade Almeida, Frederik Gailly, Giancarlo Guizzardi"; "http://ceur-ws.org/Vol-2728/paper6.pdf"
"The interdisciplinarity of Law and Computer Science is increasingly established. Following this path, this paper presents the Brazilian Family Law Domain Ontology (ODF), focused on maintenance obligations, a subarea of Brazilian Civil Law. ODF applied SABiO approach as ontological development process and was based on Unified Foundational Ontology (UFO). In particular, ODF applied the existing concepts and relations in a legal core ontology called UFO-L. ODF seeks to minimize communication and comprehensibility difficulties on the legal domain and envisages the production of a domain-specific modeling language based on ontology";"ODF: Uma Ontologia de Domínio do Direito de Família Brasileiro com Foco na Prestação Alimentícia (ODF: A Domain Ontology of Brazilian Family Law Focusing on Person Support Payment)";"Milena Ramalho Bolzan, Cristine Griffo, Maria Das Graças Da Silva Teixeira";"http://ceur-ws.org/Vol-2728/paper7.pdf"
"Literature surveys reveal several methodologies for building ontologies. A common step among all of them is the use of editors for organizing and formalizing knowledge. For researchers and students in Information Science, as well as for domain experts, the use of such editors is still an obstacle, because their majors does not favor the learning of relevant notions for the ontology development. Within this context, we have developed Onto4AllEditor, a graphical ontology editor, incorporated into a methodology, Web-oriented, which aims to provide functionalities for creating lightweight ontologies. Onto4AllEditor is part of an ongoing project whose main goal is to foster the development of ontologies and then reinforce the field’s research.";"Onto4AllEditor: Um Editor Web Gráfico de Ontologias Direcionado a Diferentes Tipos de Desenvolvedores de Ontologias (Onto4AllEditor: A Graphical Web Ontology Editor Oriented Different Types of Ontology Developers)";"Fabrício Mendonça, Lucas Castro, Jairo Souza, Maurício Almeida, Eduardo Felipe";"http://ceur-ws.org/Vol-2728/paper8.pdf"
"The assisted living environment (in English, Ambient Assisted Living-AAL) is a new technological approach, which appears to meet the demands of the elderly. Among the challenges of developing AAL systems are meeting the ethical, legal, social, medical and technical restrictions. As a result, there is a need to address compliance. This work presents a systematic mapping of the literature on the use of ontologies in the development of AAL systems and on the aspects of compliance that are considered. After applying the MSL protocol, 210 articles were analyzed. The main evidence found is related to the lack of joint application of ontology and compliance in AAL systems.";"Ontologias para Sistemas AAL que Abordem Compliance: Uma Revisão Sistemática da Literatura (Ontologies for AAL Systems That Address Compliance: A Systematic Mapping of the Literature)";"imoteo Silva, Fernanda Alencar";"http://ceur-ws.org/Vol-2728/paper9.pdf"
"Weathering is an event that changes rocks and sediments when they are exposed to the Earth’s surface conditions. This paper presents an ontological analysis and proposes a model for this type of event, based on the Unified Foundational Ontology and specializing concepts from the GeoCore ontology. The proposed model details the two main types of weathering processes (i.e. Physical Weathering and Chemical Weathering) and describes them in terms of transitions between situations, detailing the involved continuants and the properties that are affected, as well as how they are arranged in the situations connected by such processes. With this structure, the result of this work can help in tracing the past states of sediment and rocks before they are transformed into a weathering event and helps modelers to understand how to model physical occurents.";"Ontological Analysis of Weathering";"Lucas Vieira, Fabricio Rodrigues, Mara Abel";"http://ceur-ws.org/Vol-2728/paper10.pdf"
